,manufacture,manufacture/country code,country,lat,lng
0,-,SOM,Somalia,5.152149,46.199616
1,-,PNG,Papua New Guinea,-6.314992999999999,143.95555
2,-,SSD,South Sudan,6.876991899999999,31.3069788
3,-,TCD,Chad,15.454166,18.732207
4,-,CRI,Central African Republic,6.611110999999999,20.939444
5,-,NGA,Nigeria,9.081999,8.675277
6,-,ETH,Ethiopia,9.145000000000001,40.489673
7,-,YEM,Yemen,15.552727,48.516388
8,-,COG,Congo,-4.038333,21.758664
9,-,SLE,Sierra Leone,8.460555,-11.779889
10,-,COD,DRC,-4.038333,21.758664
11,-,GIN,Guinea,9.945587,-9.696645
12,-,HTI,Haiti,18.971187,-72.285215
13,-,MDG,Madagascar,-18.766947,46.869107
14,-,SYR,Syria,34.80207499999999,38.996815
15,AJ Vaccines,AJ,denmark,56.26392,9.501785
16,BB-NCIPD,BB,bulgaria,42.733883,25.48583
17,SII,SII,india,20.593684,78.96288
18,Bio Farma,BF,indonesia,-0.789275,113.921327
19,BioE,BE,india,20.593684,78.96288
20,Janssen,JL,belgiumn,50.503887,4.469936
